element_symbol,element_name,type,subtype,class,subclass,biosample_acc,asm_acc,target_acc,start_on_contig,end_on_contig,strand,pct_ref_coverage,pct_ref_identity
blaKPC-3,carbapenem-hydrolyzing class A beta-lactamase KPC-3,AMR,AMR,BETA-LACTAM,CARBAPENEM,SAMN04014845,GCA_001875045.2,PDT000158313.2,12007,12888,+,100.0,100.0
aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,SAMN04514121,GCA_022316305.1,PDT000111518.2,87,902,+,100.0,100.0
terD,tellurium resistance membrane protein TerD,STRESS,METAL,TELLURIUM,TELLURIUM,SAMN18874702,GCA_019930145.1,PDT001128528.2,11280,11858,-,100.0,98.96
qnrE1,quinolone resistance pentapeptide repeat protein QnrE1,AMR,AMR,QUINOLONE,QUINOLONE,SAMN04448246,GCA_022315775.1,PDT000130456.2,23,667,+,100.0,100.0
aac(6')-Ib3,aminoglycoside N-acetyltransferase AAC(6')-Ib3,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,SAMN31774407,GCA_027144125.3,PDT001488004.3,1205,1759,-,100.0,100.0
oqxB25,multidrug efflux RND transporter permease subunit OqxB25,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,SAMN34535840,GCA_030026945.2,PDT001737479.2,10166,13318,+,100.0,100.0
blaNDM-5,subclass B1 metallo-beta-lactamase NDM-5,AMR,AMR,BETA-LACTAM,CARBAPENEM,SAMN40930636,GCA_038083435.1,PDT002136287.1,21,833,+,100.0,100.0
blaKPC-3,carbapenem-hydrolyzing class A beta-lactamase KPC-3,AMR,AMR,BETA-LACTAM,CARBAPENEM,SAMN02138628,GCA_000567425.1,PDT000022759.1,70012,70893,+,100.0,100.0
ncrY,nickel resistance OB fold protein NcrY,STRESS,METAL,NICKEL,NICKEL,SAMN04014917,GCA_003571525.1,PDT000380976.1,47499,47921,-,100.0,100.0
aac(6')-Ib3,aminoglycoside N-acetyltransferase AAC(6')-Ib3,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,SAMN04014890,GCA_001922465.1,PDT000175509.1,54469,55023,-,100.0,100.0
iucC,NIS family aerobactin synthetase IucC,VIRULENCE,VIRULENCE,,,SAMN39956422,GCA_036669215.1,PDT002080300.1,32551,34284,+,99.48,92.72
arsN2,arsenic resistance N-acetyltransferase ArsN2,STRESS,METAL,ARSENIC,ARSENIC,SAMN09788368,GCA_003969175.1,PDT000424987.1,32993,33493,-,92.52,50.36
erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,SAMN10086703,GCA_014840635.1,PDT000855236.1,1982,2719,-,100.0,99.59
rmtF,RmtF family 16S rRNA (guanine(1405)-N(7))-methyltransferase,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,SAMN04448233,GCA_022315575.1,PDT000130468.2,1,688,+,88.03,100.0
ble,bleomycin binding protein Ble-MBL,AMR,AMR,BLEOMYCIN,BLEOMYCIN,SAMN04514124,GCA_022316195.1,PDT000111521.2,1169,1534,+,100.0,100.0
floR,chloramphenicol/florfenicol efflux MFS transporter FloR,AMR,AMR,PHENICOL,CHLORAMPHENICOL/FLORFENICOL,SAMN29928034,GCA_024580135.1,PDT001381285.1,21262,22476,+,100.0,100.0
dfrB5,trimethoprim-resistant dihydrofolate reductase DfrB5,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,SAMN36409446,GCA_030504695.1,PDT001823069.1,755,991,+,100.0,100.0
catA1,type A-1 chloramphenicol O-acetyltransferase,AMR,AMR,PHENICOL,CHLORAMPHENICOL,SAMN04514119,GCA_022316345.1,PDT000111516.2,351,1010,+,100.0,100.0
ere(A),EreA family erythromycin esterase,AMR,AMR,MACROLIDE,ERYTHROMYCIN,SAMN04448225,GCA_022315675.1,PDT000130462.2,96,1352,-,100.0,100.0
iroC,salmochelin/enterobactin export ABC transporter IroC,VIRULENCE,VIRULENCE,,,SAMN04014915,GCA_022316155.1,PDT000115267.2,452312,455980,+,100.0,84.38
blaOXA,OXA-9 family oxacillin-hydrolyzing class D beta-lactamase,AMR,AMR,BETA-LACTAM,BETA-LACTAM,SAMN04448240,GCA_022316015.1,PDT000130442.2,1497,2318,+,100.0,99.64
floR,chloramphenicol/florfenicol efflux MFS transporter FloR,AMR,AMR,PHENICOL,CHLORAMPHENICOL/FLORFENICOL,SAMN33329571,GCA_030253475.1,PDT001778385.1,6225804,6227018,+,100.0,99.75
rmtF1,16S rRNA (guanine(1405)-N(7))-methyltransferase RmtF1,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,SAMN10086703,GCA_014840635.1,PDT000855236.1,4014,4793,-,100.0,100.0
blaOXA-488,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-488,AMR,AMR,BETA-LACTAM,BETA-LACTAM,SAMN07291549,GCA_003324295.1,PDT000352614.1,3693996,3694784,+,100.0,100.0
ftsI_R504C,Pseudomonas aeruginosa carbapenem resistant FtsI,AMR,POINT,BETA-LACTAM,CARBAPENEM,SAMN29441906,GCA_024716995.1,PDT001395273.2,27441,29177,-,100.0,99.83
iroB,salmochelin biosynthesis C-glycosyltransferase IroB,VIRULENCE,VIRULENCE,,,SAMN10405421,GCA_003951195.1,PDT000421922.1,93088,94203,-,100.0,89.49
ble,bleomycin binding protein Ble-MBL,AMR,AMR,BLEOMYCIN,BLEOMYCIN,SAMN04014993,GCA_002202235.1,PDT000219970.1,3450,3815,+,100.0,100.0
blaOXA,OXA-9 family oxacillin-hydrolyzing class D beta-lactamase,AMR,AMR,BETA-LACTAM,BETA-LACTAM,SAMN02581265,GCA_000694835.1,PDT000030688.1,8926,9747,+,100.0,99.64
peg-344,DMT family inner membrane transporter PEG344,VIRULENCE,VIRULENCE,,,SAMN07672549,GCA_003203435.1,PDT000327866.1,108486,109388,-,100.0,100.0
blaCMY-6,class C beta-lactamase CMY-6,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN04014989,GCA_002202255.1,PDT000219971.1,145771,146916,+,100.0,100.0
ftsI_R504C,Pseudomonas aeruginosa carbapenem resistant FtsI,AMR,POINT,BETA-LACTAM,CARBAPENEM,SAMN29441849,GCA_024719295.1,PDT001395384.2,19178,20914,-,100.0,99.83
catA2,type A-2 chloramphenicol O-acetyltransferase CatII,AMR,AMR,PHENICOL,CHLORAMPHENICOL,SAMN29928035,GCA_024580215.1,PDT001381287.1,12483,13124,-,100.0,100.0
blaSHV-28,broad-spectrum class A beta-lactamase SHV-28,AMR,AMR,BETA-LACTAM,BETA-LACTAM,SAMN04448236,GCA_022315955.1,PDT000130449.2,16883,17743,+,100.0,100.0
msr(E),ABC-F type ribosomal protection protein Msr(E),AMR,AMR,MACROLIDE/STREPTOGRAMIN,AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN,SAMN04014984,GCA_002180315.1,PDT000217003.1,77674,79149,+,100.0,100.0
sat2,streptothricin N-acetyltransferase Sat2,AMR,AMR,STREPTOTHRICIN,STREPTOTHRICIN,SAMN04448225,GCA_022315675.1,PDT000130462.2,40050,40574,-,100.0,100.0
catB,type B chloramphenicol O-acetyltransferase,AMR,AMR,PHENICOL,CHLORAMPHENICOL,SAMN18874744,GCA_019928005.1,PDT001128427.2,1606,2238,+,100.0,100.0
yfdX2,heat resistance protein YfdX2,STRESS,HEAT,,,SAMN09788368,GCA_003969175.1,PDT000424987.1,9990,10877,-,100.0,92.88
