asm_acc,p_element_symbol,r_element_symbol,mb_element_symbol,p_lesion,r_lesion,mb_lesion,p_lession_type,r_lession_type,p_mutation_id,r_mutation_id,record_id
GCA_000018445.1,,,,,,,,,,,5e8ce4f83e0e73177c7cc31f7b913be4
GCA_000026645.1,,,oprD,,,V359L,,,,,022bd4b26f6e7605b5034efd839ccba0
GCA_000026645.1,,,mexR,,,R83C,,,,,071702d159ebb4df1a97c6c99bdd190c
GCA_000148745.1,,,,,,,,,,,60d686d02f051ac989d3bfe4a0331682
GCA_000162035.1,,,,,,,,,,,7fe5bbbc4409991b93f30a13e22e8289
GCA_000163375.2,,,,,,,,,,,c6d6ded6587f8b7cbf6db1bd7de223af
GCA_000172395.1,,,,,,,,,,,1cf86f0d43b429ddc4f3ba6c3cda39ae
GCA_000173395.1,,,,,,,,,,,0c5de5b3b7a285e33e6e64f642eaea37
GCA_000177695.1,,,,,,,,,,,ce9639e437066f7a80fbc4da2952816a
GCA_000177715.1,,,,,,,,,,,b9d5236fedbd27318a2327c85034e19a
GCA_000177735.1,,,,,,,,,,,3e6bf6d45eda37395fc969548e63167f
GCA_000186665.4,,,,,,,,,,,23504f4b590aaf971c00278c67909d5a
GCA_000189655.2,,,,,,,,,,,3eb5ee193c330238b9214aa66d7e8719
GCA_000196795.1,,,,,,,,,,,3f1f4154df7bddc45a88002d6772fbbd
GCA_000222225.2,,,,,,,,,,,1ddfd301ef7221252b14af33a3278513
GCA_000222245.2,,,,,,,,,,,b4b0cf48cb182dcc6c4714cb17cb7e81
GCA_000222265.2,,,,,,,,,,,82ca0d9b4e0fa632870c821dd47de763
GCA_000241725.2,,,,,,,,,,,0921ab7fb6704dadeb856511e0704e2c
GCA_000259025.1,,,oprD,,,V359L,,,,,3c0ad90464117ad0eb2986eb96d761be
GCA_000278645.1,,,,,,,,,,,746713e7a25578360b0db277627c0a79
GCA_000278685.1,,,,,,,,,,,5a1e365b182b2b9e9099bff062b1920e
GCA_000281755.1,,,,,,,,,,,fc6142ff132a7ebd40dd18d6d9b105ce
GCA_000282915.1,,,,,,,,,,,244b4b6057b7526bd553063df536a8a4
GCA_000283055.1,,,,,,,,,,,d08038b15fec72c2859e7c7eb76d6f82
GCA_000290555.2,,,,,,,,,,,4fec131f77ea069a4e5ddefcff222c05
GCA_000297315.1,,,,,,,,,,,816189cdb06b9e22f7077f5c5778a10d
GCA_000297335.1,,,,,,,,,,,0244e0e4c22984d68db8300e1a0dc658
GCA_000297575.1,,,,,,,,,,,5f881c3d3e1ce1169d808bae7b3f4c61
GCA_000297955.1,,,,,,,,,,,37913ca2f9a27a99278effbacd7376ee
GCA_000300735.3,,,,,,,,,,,69c4756c57aced850eeb6b8b5b5438ee
GCA_000301235.1,,,,,,,,,,,fc6ba72920a614adbaf9b19a5f055cae
GCA_000301255.1,,,,,,,,,,,df0d867bf3a56b90d466d8f7a7190776
